ds,class,accuracy
train,0,0.687
train,1,0.87
train,2,0.03
train,3,0.317
train,4,0.808
train,5,0.583
train,6,0.122
train,7,0.806
train,8,0.9
train,9,0.934
ds,class,accuracy
test,0,0.674
test,1,0.86
test,2,0.039
test,3,0.283
test,4,0.822
test,5,0.585
test,6,0.115
test,7,0.818
test,8,0.897
test,9,0.944
ds,class,accuracy
train,0,0.877
train,1,0.971
train,2,0.687
train,3,0.877
train,4,0.829
train,5,0.953
train,6,0.692
train,7,0.946
train,8,0.968
train,9,0.977
ds,class,accuracy
test,0,0.85
test,1,0.961
test,2,0.647
test,3,0.867
test,4,0.8
test,5,0.949
test,6,0.67
test,7,0.942
test,8,0.965
test,9,0.967
